,Unnamed: 0.1,Unnamed: 0,part_id,hh_id,part_age,part_gender,cont_id,cnt_age_est_min,cnt_age_est_max,cnt_gender,phys_contact,duration_multi,hh_size,sday_id,dayofweek,day,month,year,cnt_age_distances,cnt_age_exact,degree
26369,26369,147882,E15_505050,HHE15_505050,45.0,M,E15_505050003,20.0,24.0,M,1.0,1.0,4.0,2021-02-17,3,17,2,21,4.0,22.0,3
26370,26370,147883,E15_505053,HHE15_505053,6.0,F,E15_505053001,40.0,44.0,F,1.0,2.0,3.0,2021-02-18,4,18,2,21,4.0,42.0,2
26371,26371,147884,E15_505053,HHE15_505053,6.0,F,E15_505053002,12.0,15.0,M,1.0,2.0,3.0,2021-02-18,4,18,2,21,3.0,14.0,2
26372,26372,147885,E15_505054,HHE15_505054,33.0,M,E15_505054001,55.0,64.0,M,2.0,3.0,4.0,2021-02-19,5,19,2,21,9.0,59.0,1
26373,26373,147886,E15_505055,HHE15_505055,40.0,M,,,,,,,1.0,2021-02-21,0,21,2,21,,,0
26374,26374,147887,E15_505056,HHE15_505056,26.0,,,,,,,,4.0,2021-02-21,0,21,2,21,,,0
26375,26375,147888,E15_505057,HHE15_505057,21.0,F,E15_505057001,25.0,34.0,F,1.0,5.0,2.0,2021-02-22,1,22,2,21,9.0,32.0,1
26376,26376,147889,E15_505063,HHE15_505063,33.0,M,E15_505063001,25.0,34.0,M,2.0,1.0,2.0,2021-02-17,3,17,2,21,9.0,31.0,1
26377,26377,147890,E15_505064,HHE15_505064,54.0,F,,,,,,,2.0,2021-02-22,1,22,2,21,,,0
26378,26378,147891,E15_505065,HHE15_505065,7.0,F,E15_505065001,30.0,34.0,F,1.0,5.0,4.0,2021-02-23,2,23,2,21,4.0,32.0,5
26379,26379,147892,E15_505065,HHE15_505065,7.0,F,E15_505065002,35.0,44.0,M,1.0,5.0,4.0,2021-02-23,2,23,2,21,9.0,39.0,5
26380,26380,147893,E15_505065,HHE15_505065,7.0,F,E15_505065003,5.0,11.0,M,1.0,5.0,4.0,2021-02-23,2,23,2,21,6.0,5.0,5
26381,26381,147894,E15_505065,HHE15_505065,7.0,F,E15_505065004,55.0,64.0,F,1.0,5.0,4.0,2021-02-23,2,23,2,21,9.0,57.0,5
26382,26382,147895,E15_505065,HHE15_505065,7.0,F,E15_505065005,65.0,69.0,M,1.0,5.0,4.0,2021-02-23,2,23,2,21,4.0,69.0,5
26383,26383,147896,E15_505070,HHE15_505070,25.0,F,E15_505070001,15.0,19.0,F,1.0,4.0,1.0,2021-02-17,3,17,2,21,4.0,15.0,2
26384,26384,147897,E15_505070,HHE15_505070,25.0,F,E15_505070002,75.0,79.0,F,2.0,5.0,1.0,2021-02-17,3,17,2,21,4.0,78.0,2
26385,26385,147898,E15_505076,HHE15_505076,32.0,F,E15_505076001,5.0,11.0,M,2.0,1.0,2.0,2021-02-17,3,17,2,21,6.0,8.0,1
26386,26386,147899,E15_505077,HHE15_505077,40.0,F,E15_505077001,45.0,54.0,M,2.0,5.0,4.0,2021-02-17,3,17,2,21,9.0,45.0,3
26387,26387,147900,E15_505077,HHE15_505077,40.0,F,E15_505077002,16.0,17.0,M,2.0,5.0,4.0,2021-02-17,3,17,2,21,1.0,17.0,3
26388,26388,147901,E15_505077,HHE15_505077,40.0,F,E15_505077003,12.0,15.0,M,2.0,5.0,4.0,2021-02-17,3,17,2,21,3.0,12.0,3
26389,26389,147902,E15_505078,HHE15_505078,41.0,F,E15_505078001,45.0,54.0,M,2.0,2.0,2.0,2021-02-17,3,17,2,21,9.0,50.0,2
26390,26390,147903,E15_505078,HHE15_505078,41.0,F,E15_505078002,55.0,64.0,F,2.0,2.0,2.0,2021-02-17,3,17,2,21,9.0,58.0,2
26391,26391,147904,E15_505081,HHE15_505081,1.0,M,E15_505081001,35.0,39.0,F,1.0,5.0,4.0,2021-02-18,4,18,2,21,4.0,37.0,6
26392,26392,147905,E15_505081,HHE15_505081,1.0,M,E15_505081002,12.0,15.0,M,1.0,4.0,4.0,2021-02-18,4,18,2,21,3.0,14.0,6
26393,26393,147906,E15_505081,HHE15_505081,1.0,M,E15_505081003,25.0,34.0,M,1.0,5.0,4.0,2021-02-18,4,18,2,21,9.0,29.0,6
26394,26394,147907,E15_505081,HHE15_505081,1.0,M,E15_505081004,1.0,4.0,M,1.0,5.0,4.0,2021-02-18,4,18,2,21,3.0,4.0,6
26395,26395,147908,E15_505081,HHE15_505081,1.0,M,E15_505081005,1.0,4.0,F,1.0,5.0,4.0,2021-02-18,4,18,2,21,3.0,1.0,6
26396,26396,147909,E15_505081,HHE15_505081,1.0,M,E15_505081006,35.0,44.0,F,1.0,,4.0,2021-02-18,4,18,2,21,9.0,41.0,6
26397,26397,147910,E15_505082,HHE15_505082,107.0,M,,,,,,,2.0,2021-02-21,0,21,2,21,,,0
26398,26398,147911,E15_505083,HHE15_505083,38.0,F,E15_505083001,35.0,44.0,M,1.0,4.0,2.0,2021-02-19,5,19,2,21,9.0,38.0,2
26399,26399,147912,E15_505083,HHE15_505083,38.0,F,E15_505083002,35.0,44.0,F,2.0,1.0,2.0,2021-02-19,5,19,2,21,9.0,35.0,2
26400,26400,147913,E15_505086,HHE15_505086,21.0,M,,,,,,,3.0,2021-02-19,5,19,2,21,,,0
26401,26401,147914,E15_505088,HHE15_505088,5.0,M,E15_505088001,45.0,49.0,F,1.0,5.0,4.0,2021-02-18,4,18,2,21,4.0,47.0,3
26402,26402,147915,E15_505088,HHE15_505088,5.0,M,E15_505088002,45.0,54.0,M,1.0,5.0,4.0,2021-02-18,4,18,2,21,9.0,46.0,3
26403,26403,147916,E15_505088,HHE15_505088,5.0,M,E15_505088003,5.0,11.0,F,1.0,5.0,4.0,2021-02-18,4,18,2,21,6.0,10.0,3
26404,26404,147917,E15_505089,,,,E15_505089001,30.0,34.0,F,1.0,5.0,,2021-02-17,3,17,2,21,4.0,34.0,4
26405,26405,147918,E15_505089,,,,E15_505089002,25.0,34.0,M,1.0,5.0,,2021-02-17,3,17,2,21,9.0,33.0,4
26406,26406,147919,E15_505089,,,,E15_505089003,55.0,64.0,F,1.0,4.0,,2021-02-17,3,17,2,21,9.0,62.0,4
26407,26407,147920,E15_505089,,,,E15_505089004,55.0,64.0,M,1.0,4.0,,2021-02-17,3,17,2,21,9.0,62.0,4
26408,26408,147921,E15_505090,HHE15_505090,18.0,M,,,,,,,3.0,2021-02-17,3,17,2,21,,,0
26409,26409,147922,E15_505091,HHE15_505091,50.0,F,E15_505091001,55.0,64.0,M,2.0,5.0,4.0,2021-02-18,4,18,2,21,9.0,60.0,2
26410,26410,147923,E15_505091,HHE15_505091,50.0,F,E15_505091002,20.0,24.0,M,2.0,4.0,4.0,2021-02-18,4,18,2,21,4.0,20.0,2
26411,26411,147924,E15_505092,HHE15_505092,55.0,M,E15_505092001,55.0,64.0,F,1.0,5.0,2.0,2021-02-17,3,17,2,21,9.0,62.0,1
26412,26412,147925,E15_505094,HHE15_505094,32.0,F,E15_505094001,12.0,15.0,F,1.0,4.0,3.0,2021-02-23,2,23,2,21,3.0,15.0,3
26413,26413,147926,E15_505094,HHE15_505094,32.0,F,E15_505094002,5.0,11.0,M,1.0,5.0,3.0,2021-02-23,2,23,2,21,6.0,9.0,3
26414,26414,147927,E15_505094,HHE15_505094,32.0,F,E15_505094003,25.0,34.0,M,1.0,5.0,3.0,2021-02-23,2,23,2,21,9.0,27.0,3
